depth,DCA,DCA_SD,BNP,BNP_SD,SRR,SRR_SD,Micro_Abund_AO,Micro_Abund_AO_SD,Micro_Abund_DAPI,Micro_Abund_DAPI_SD,Flag_Abund,Flag_Abund_SD,O2_Winkler,O2_Winkler_SD,H2S,H2S_SD,PartS0,PartS0_SD,TZVS,TZVS_SD,CH4,CH4_SD,NO_x,NO3,NO2,NH4,PO4
51,0.7822,0.3156,0.9872,0.259,,,2.032846698,0.545938488,1.583816,0.425347427,0.45,0.47,174.5850684,0.749454243,0,,0,,0,,0.01,0,2.21431925,1.908338748,0.305980502,1.606285022,0
101,0.1996,0.0444,0.1623,0.0189,,,0.466130453,0.403726957,0.363168,0.314548664,0.53,0.39,140.825876,1.081336122,0,,0.0179,0.0091001,0.02,0.0025964,0.02,0,6.484362919,6.394553657,0.089809262,0.401415403,0.161130052
151,0.1321,0.0377,0.1284,0.0063042,,,0.466130453,0.175317671,0.363168,0.136592166,0.4,0.45,97.98491436,0.145125229,0,,0,,0,,0.02,0,12.40730222,12.333296,0.074006217,2.153740592,0.654460701
191,0.3454,0.0604,0.2919,0.0101,,,0.621507271,0.180552184,0.484224,0.140670439,0.3,0.28,39.87177726,1.035937169,0,,0,,0,,0.01,0,12.59178828,12.51952695,0.07226133,1.674036626,1.358367462
221,0.5294,0.3133,0.1574,0.0439,,,0.640929373,0.231420936,0.499356,0.180302913,0.28,0.29,5.829428813,0.859420122,0,,0.0305,0.0178,0.02,0.01,0.01,0,8.123289737,8.038101254,0.085188483,0.627430263,1.854315829
241,0.1918,0.0475,0.2437,0.0357,,,1.100585792,0.689888926,0.85748,0.537500993,0.64,0.35,10.3029317,1.500394705,0,,0.0468,0.0244,0.02,0.0016341,0.06,0,1.957522098,1.689160909,0.268361189,0.634933769,1.48295027
251,0.529,,0.2055,0.0153,,,1.094111758,0.548066912,0.852436,0.427005708,1.06,0.64,1.86297323,0.221965171,0,0.1506,0.0326,0.0074721,0.01,,0.01,0,3.111134632,3.070078628,0.041056004,0,1.924104889
260,0.8248,0.4638,0.3562,0.0328,,,2.382444538,1.000163185,1.856192,0.779239505,0.47,0.34,1.55558375,0.090016433,0,0.213,0.0676,0.0035753,0.01,0.00061854,0.15,0,0.089977043,0.064760848,0.025216195,0.28117718,1.869406873
270,1.1528,0.1349,0.6696,0.3416,694.625,520.5305587,1.268910678,0.436963996,0.988624,0.340444053,0.36,0.29,1.887147378,0.038020931,0,0.4793,0.1267,0.068,0.01,0.000099385,0.18,0,0.110831445,0.074199696,0.036631749,0.655627159,2.350291543
282,6.4364,1.1478,1.6549,0.8057,228.5,226.5925124,0.867520565,0.597266437,0.675896,0.465337667,,,0,,0,0.3498,0.4581,0.0075598,0.31,0.0694,0.21,0.01,0.301917178,0.27691328,0.025003898,1.592281216,1.998705528
291,8.0299,0.7755,0.9726,0.6506,342.5,229.5707952,1.314228916,0.509765952,1.023932,0.397164957,5.07,4.75,0,,2.3068,0.3318,0.4633,0.0126,0.14,0.0455,0.27,0.01,0,0,0,3.417603086,2.21602996
300,,,,,930.85,818.1247195,,,,,,,,,,,,,,,,,,,,,
310,8.4619,0.8862,1.53,0.6462,,,2.110535107,0.879770176,1.644344,0.685439823,1.19,0.7,0,,7.6006,3.1868,0.3391,0.0051308,0.16,0.0148,0.65,0.01,0,0,0,3.697265086,2.66083263
321,4.7403,0.4266,0.9741,0.4207,,,0.653877441,0.338470856,0.509444,0.263706829,0.4,0.47,0,,6.7133,2.565,0.1027,0.0189,0.01,0.00077295,0.61,0.01,0,0,0,6.160803965,2.904099096
351,0.3106,0.1066,0.2214,0.0151,,,0.69919568,0.443312474,0.544752,0.34539023,0.4,0.45,0,,17.9933,6.8262,0.0702,0.002125,0.0139,0.00025428,1.01,0.06,0,0,0,5.556834418,2.369651034
401,0.2721,0.1061,0.1849,0.0605,,,0.608559203,0.300576201,0.474136,0.234182635,0.4,0.45,0,,40.918,15.0205,0.0418,0.0046479,0.014,0.00029524,2.03,0.04,0,0,0,10.72416355,3.211922701
501,0.2245,0.0897,0.0733,0.0435,,,0.673299543,0.183113336,0.524576,0.142665864,0.74,0.62,0,,77.7182,38.1342,0,,0,,6.99,0.12,0,0,0,16.05041928,3.425801991
901,0.0396,0.0298,0.0626,0.0164,,,0.543818862,0.42726445,0.423696,0.332887016,0.51,0.47,0,,119.98,57.83,0,,0,,10.83,0.24,0,0,0,26.84748076,3.681901852
1300,0.016,0.0227,0.048,0.014,,,0.543818862,0.291131649,0.423696,0.226824268,0.51,0.38,0,,143.1615,69.3899,0,,0,,12.6,0.15,0,0,0,28.82254691,4.029045171