depth,DCA,DCA_SD,BNP,BNP_SD,SRR,SRR_SD,Cells_S0_inclusions,Cells_S0_inclusions_SD,Micro_Abund_AO,Micro_Abund_AO_SD,O2_Winkler,H2S,H2S_SD,PartS0,PartS0_SD,CH4,CH4_SD,NO_x,NO3,NO2,NO2_x10,NH4,PO4
32,4.192239484,1.240020409,1.8670591,0.159206177,,,,,0.507434853,0.179576553,179.7769438,0,,0.01,0.01,0.02,0.01,1.796850115,1.567652728,0.229197387,2.29197387,0.516597999,0
90,2.276334133,0.154640332,0.200284932,0.053485919,,,,,0.971552097,0.261775561,155.3661705,0,,0,0,0.01,0,5.445636251,5.356107009,0.089529242,0.89529242,1.092442266,0.123739636
170,11.48974078,3.895427577,0.087299588,0.020847312,,,,,0.993210902,0.274552525,70.17462619,0,,0,0,0.02,0,13.87555775,13.86045191,0.015105848,0.15105848,0.115271876,1.061240535
218,0.355845119,0.147938946,0.089619313,0.001711297,,,,,0.491964278,0.152903925,19.11402792,0,,0,0,0.02,0,9.030082797,9.026556501,0.003526296,0.03526296,0,1.69175858
250,0.253257706,0.173698603,0.107632873,0.005092612,,,,,0.977740327,0.305478139,13.43756826,0,,0.1,0.11,0.01,0,4.231961316,4.231961316,0,0,1.661934785,2.025270344
269,0.292886397,0.179355556,0.115500549,0.020392286,,,,,0.439364324,0.093094467,13.87348298,0,,0.09,0.03,0.01,0.01,4.257899846,4.246134541,0.011765305,0.11765305,0.792874102,1.842501961
277,1.359500085,0.731432927,0.084311051,0.007433195,,,,,1.940010079,0.523358605,10.54893595,0.103303824,0.357854943,0.04,0,0.01,0,3.639626128,3.630128414,0.009497715,0.09497715,1.681288398,2.162489823
289,0.644383321,0.236450102,0.078257788,0.0163973,,,0,0,0.541470118,0.138373028,12.15789255,0,0.236698796,0.03,0.01,0.01,0,3.540023661,3.526823428,0.013200234,0.13200234,2.71004455,2.266171061
298,0.443622439,0.316851169,0.11819786,0.037705108,66.03847145,35.88933302,0,0,0.411517289,0.20077269,8.300472685,0,0.357854943,0.04,0.01,0.01,0,2.986885844,2.975646887,0.011238957,0.11238957,0.122979191,2.329297547
308,0.748940331,0.472629324,0.043122863,0.017080133,102.6560485,30.81062335,0.129952828,0.0838932,0.216588047,0.139821999,0,0.309911471,0.154955736,0.04,0.03,0.09,0,0.919869895,0.884032867,0.035837027,0.35837027,1.169676135,2.429741456
318,22.90874112,9.186136676,2.042525609,0.89179072,399.6199554,176.2648414,0,0,0.903481568,0.190998048,0,0,0.447318678,0.44,0.29,0.48,0.02,0.049884914,0.028302964,0.021581949,0.21581949,2.315389937,2.651129912
329,40.15695326,5.62710736,2.959916127,1.421239631,91.42067038,17.9118083,1.08603435,0.453541908,0.603352417,0.251967727,0,0.464867207,0.710096388,1.09,0.09,0.82,0.02,0,0,0,0,4.715481955,2.663427597
349,26.30291914,5.726031306,1.376984866,0.698208403,,,,,0.693081751,0.209612843,0,5.423450747,0.536782414,0.31,0.26,1.06,0.03,0,0,0,0,3.449246176,2.550586941
373,0.470446224,0.265798096,0.463506678,0.102582122,,,,,0.510528968,0.182912626,0,10.33038238,0.62624615,0.15,0.05,1.75,0.02,0,0,0,0,6.646689167,2.717892093
399,0.36443299,0.042867142,0.570580622,0.03945619,,,,,0.76115228,0.15224343,0,13.32619326,0.774778678,0.2,0.05,2.21,0.05,0,0,0,0,7.654922348,2.685640671
498,7.97192581,9.83496431,0.998063636,0.10855944,,,,,0.696175866,0.156808484,0,12.24150312,0.675436392,0,0,2.78,0.02,0,0,0,0,8.162578856,2.406705774
892,0,0,0.064095681,0.00590849,,,,,0.609540647,0.133177536,0,59.29639484,6.09142277,0,0,14.74,0.06,0,0,0,0,25.33490053,3.570530898
1289,0,0,0.064420768,0.020294784,,,,,0.327976186,0.129338758,0,65.64958,4.397395157,0,0,18.16,0.93,0,0,0,0,28.15366351,3.776857471